w_hedge, r_hedge, skewness, kurtosis, sharpe
-0.025139, 0.008417, -0.097530, -0.841510, 16.568220
-0.024468, -0.031505, -0.087550, -0.895551, 16.374337
-0.025059, -0.036359, 0.002930, -0.814763, 15.964058
-0.024163, -0.002847, 0.007792, -0.859335, 15.775887
-0.021440, -0.042418, 0.120492, -0.743373, 15.322252
-0.022025, -0.028089, 0.149214, -0.788878, 15.100631
-0.022877, 0.099138, 0.126267, -0.843691, 15.081594
-0.022331, -0.036723, 0.131651, -0.814510, 15.111986
-0.026732, 0.011878, 0.158212, -0.761524, 15.116962
-0.023095, -0.041765, 0.190485, -0.711987, 15.098232
-0.024130, 0.033150, 0.210317, -0.677723, 15.091189
-0.023498, 0.026440, 0.235566, -0.696630, 14.958771
-0.024102, -0.051953, 0.238268, -0.715986, 14.870510
-0.024190, -0.046188, 0.238740, -0.740157, 14.752279
-0.022947, -0.063749, 0.238255, -0.770459, 14.596079
-0.022752, -0.017940, 0.228209, -0.813048, 14.315186
-0.021879, 0.102768, 0.223070, -0.855109, 14.055110
-0.021899, -0.009335, 0.218738, -0.889771, 13.842423
-0.022077, 0.008023, 0.210020, -0.895155, 13.759219
-0.021896, -0.092921, 0.195771, -0.909099, 13.597858
-0.021734, -0.105437, 0.171174, -0.929237, 13.320434
-0.021796, 0.093891, 0.125793, -0.929806, 12.945819
-0.021732, -0.016232, 0.098297, -0.950819, 12.629610
-0.021568, 0.022868, 0.083559, -0.941057, 12.547411
-0.021605, 0.041054, 0.087759, -0.944544, 12.568970
-0.021284, 0.096331, 0.040810, -0.915703, 12.290889
-0.020800, -0.024922, -0.044768, -0.859153, 11.681941
-0.019231, 0.013048, -0.100405, -0.848413, 11.232465
-0.017914, 0.027118, -0.139903, -0.869758, 10.655414
-0.017375, -0.057224, -0.175030, -0.887283, 10.049638
-0.017310, 0.050866, -0.179042, -0.943222, 9.511633
-0.017268, 0.001299, -0.174726, -1.002520, 9.007861
-0.016760, 0.029892, -0.168149, -1.069054, 8.636101
-0.016379, 0.019580, -0.189207, -1.084622, 8.372001
-0.016513, -0.040271, -0.189473, -1.134363, 8.091503
-0.016707, 0.077219, -0.169416, -1.201341, 7.778486
-0.016483, -0.014378, -0.148277, -1.263027, 7.490777
-0.015299, -0.013683, -0.120446, -1.319117, 7.142959
-0.013166, -0.045197, -0.088468, -1.371803, 6.823274
-0.012806, 0.016556, -0.059584, -1.420329, 6.547167
-0.011451, 0.041942, -0.001250, -1.448269, 6.280511
-0.009430, -0.031686, 0.061504, -1.455371, 5.977461
-0.009264, 0.004331, 0.124812, -1.453551, 5.695452
-0.009861, 0.026490, 0.189991, -1.436142, 5.417747
-0.009273, -0.006647, 0.256260, -1.399364, 5.141349
-0.006734, -0.025714, 0.321590, -1.361319, 4.864776
-0.007872, 0.017654, 0.385445, -1.309711, 4.568950
-0.015492, 0.010810, 0.451839, -1.256606, 4.322045
-0.016535, 0.005636, 0.498406, -1.219354, 4.198874
-0.015090, 0.024321, 0.564449, -1.154849, 3.969524
-0.014453, 0.058868, 0.628397, -1.088282, 3.765740
-0.012666, 0.047144, 0.684489, -1.025673, 3.613132
-0.011534, 0.023327, 0.752766, -0.927428, 3.436399
-0.011183, -0.007909, 0.833994, -0.771551, 3.235216
-0.012840, 0.021267, 0.916951, -0.593009, 3.046914
-0.013528, 0.045457, 1.004137, -0.392158, 2.852523
-0.012938, -0.021458, 1.095716, -0.165169, 2.653949
-0.016130, 0.023271, 1.170142, 0.013362, 2.510148
-0.013676, -0.063478, 1.242448, 0.257887, 2.393767
-0.009588, 0.045757, 1.315656, 0.570739, 2.258105
-0.003862, 0.064752, 1.337176, 0.760951, 2.169784
-0.005090, -0.015081, 1.395402, 1.099110, 2.046504
-0.003710, -0.045209, 1.404273, 1.334189, 1.898535
-0.004231, 0.028077, 1.390260, 1.521792, 1.779547
-0.001961, 0.000746, 1.168602, 0.728333, 1.678791
-0.001661, -0.004716, 0.955714, -0.126709, 1.613014
-0.005509, 0.013225, 1.081450, 0.405933, 1.643055
-0.005450, 0.025431, 1.422002, 1.921738, 1.714948
0.001395, -0.024468, 1.488792, 1.922934, 1.801447
-0.003634, 0.024373, 1.474354, 1.690280, 1.868485
0.001983, -0.040248, 1.522443, 1.668067, 1.957868
-0.002646, 0.005905, 1.491180, 1.338201, 2.103554
0.003831, -0.008550, 1.526407, 1.390002, 2.281389
0.002807, 0.019568, 1.497176, 1.170933, 2.460654
0.003178, 0.056195, 1.471344, 1.016182, 2.640502
0.001177, 0.038838, 1.422010, 0.799274, 2.833830
-0.003963, -0.005560, 1.606546, 1.854974, 2.986730
-0.005990, -0.021867, 1.934508, 3.721691, 3.084651
-0.004790, 0.025187, 2.064853, 4.194262, 3.198249
-0.003790, -0.045554, 2.006082, 3.585815, 3.346894
-0.005549, -0.028029, 2.265799, 5.171670, 3.394748
-0.002812, -0.058126, 2.402051, 5.790873, 3.451773
-0.002827, -0.008712, 3.192042, 11.782545, 3.257627
-0.000928, 0.017304, 3.678256, 14.996053, 3.053168
-0.001381, 0.004500, 3.310089, 10.920188, 3.116972
-0.001553, -0.000693, 2.895491, 7.697330, 3.303382
-0.001589, 0.003154, 2.609675, 5.966672, 3.520835
-0.001601, 0.009582, 2.535520, 5.661201, 3.675170
-0.001620, -0.012786, 2.336494, 4.637948, 3.885544
-0.001694, -0.016724, 2.155461, 3.761793, 4.096931
-0.001605, -0.056221, 1.999070, 3.068537, 4.305340
-0.001448, -0.003784, 1.831578, 2.223379, 4.486985
-0.000998, 0.026695, 1.682436, 1.552897, 4.669855
-0.001004, -0.002100, 1.548401, 1.057768, 4.878187
-0.001191, 0.040158, 1.423406, 0.600223, 5.072777
-0.001174, -0.037289, 1.323807, 0.318558, 5.281475
-0.001430, 0.000251, 1.221668, -0.004777, 5.471247
-0.001122, 0.002291, 1.221032, 0.109805, 5.578381
-0.001130, -0.032263, 1.151986, -0.035761, 5.785122
-0.001136, 0.021660, 1.085752, -0.165688, 5.995000
-0.000999, 0.052197, 0.996937, -0.375421, 6.215157
-0.001082, 0.038099, 0.921737, -0.520134, 6.441418
-0.001257, 0.034122, 0.850628, -0.643118, 6.671716
-0.001387, -0.080291, 0.773593, -0.782935, 6.909247
-0.001489, 0.038739, 0.708433, -0.872159, 7.151417
-0.001243, -0.066285, 0.644388, -0.952027, 7.402809
-0.001374, -0.062919, 0.577470, -1.036193, 7.666286
-0.001154, -0.017645, 0.509742, -1.116707, 7.934423
-0.000727, 0.020152, 3.761911, 20.188433, 5.757504
-0.000705, 0.061982, 3.415333, 16.792846, 5.933608
-0.000734, 0.037223, 3.400474, 16.793803, 6.114355
-0.000800, 0.003699, 3.415703, 16.989576, 6.267485
-0.000833, -0.021952, 3.442986, 17.253029, 6.406970
-0.000837, 0.017906, 3.469381, 17.519331, 6.560583
-0.000805, -0.007796, 3.461739, 17.570327, 6.760345
-0.000821, -0.139012, 3.499957, 17.908219, 6.911572
-0.000814, -0.004323, 3.538949, 18.260193, 7.078163
-0.000693, 0.084084, 3.585163, 18.650496, 7.234054
-0.000690, 0.011143, 3.276349, 15.631403, 7.392322
-0.000777, 0.033997, 3.309346, 15.932333, 7.579906
-0.000805, 0.011448, 3.506503, 14.168566, 6.422458
-0.000849, -0.048739, 3.444447, 13.801266, 6.631996
-0.000857, 0.009821, 3.454497, 13.897815, 6.808878
-0.000773, 0.007443, 3.303988, 12.856323, 7.030638
-0.000804, -0.117724, 3.016441, 10.592341, 7.184683
-0.000816, -0.018606, 2.734965, 8.422908, 7.305484
-0.000394, -0.036108, 3.256667, 11.855008, 6.215357
-0.000429, -0.039153, 2.876054, 8.364081, 6.119410
-0.000350, -0.033081, 2.583788, 6.105098, 6.079502
-0.000293, 0.019688, 2.346117, 4.535442, 6.089487
-0.000257, 0.025316, 2.147173, 3.515098, 6.256570
-0.000296, 0.077172, 2.077623, 3.189432, 6.157434
-0.000301, -0.072108, 2.086479, 3.218757, 6.228767
-0.000316, -0.013895, 2.095371, 3.249336, 6.311668
-0.000264, 0.058175, 2.001095, 2.893347, 6.518890
-0.000256, -0.052789, 1.901403, 2.520236, 6.730763
