w_hedge, r_hedge, skewness, kurtosis, sharpe
0.148033, -0.026944, -0.111220, 0.281313, -12.399303
0.146027, -0.005634, -0.145541, 0.451452, -12.971908
0.145422, -0.056119, -0.275891, 0.551414, -13.902528
0.144827, -0.039453, -0.407154, 0.546026, -14.950810
0.136541, 0.073865, -0.499124, 0.521297, -15.900177
0.132064, -0.056759, -0.519423, 0.603663, -16.616019
0.145971, -0.005630, -0.480303, 0.432526, -16.734454
0.136609, -0.069666, -0.494099, 0.383733, -17.427312
0.136589, 0.003020, -0.444495, 0.360484, -17.855560
0.127250, -0.003794, -0.378321, 0.186358, -17.865549
0.130118, -0.088326, -0.340854, 0.007035, -17.728106
0.129334, -0.089108, -0.296935, -0.165698, -17.600905
0.113722, -0.099767, -0.277161, -0.281620, -17.422719
0.101356, -0.048814, -0.327910, -0.311672, -16.956854
0.085741, 0.072879, -0.330294, -0.421719, -16.646388
0.080220, -0.036570, -0.296896, -0.521018, -16.557307
0.088425, -0.024848, -0.371521, -0.495745, -16.128993
0.082565, -0.121800, -0.356690, -0.596541, -15.901528
0.078962, -0.129976, -0.346330, -0.624427, -15.884228
0.064463, 0.071788, -0.303502, -0.691154, -16.193142
0.051152, -0.030649, -0.260565, -0.730693, -16.659677
0.058898, 0.003263, -0.252552, -0.802069, -17.244438
0.054476, 0.016403, -0.196770, -0.798287, -17.647623
0.053489, 0.078630, -0.131219, -0.814420, -17.943756
0.055270, -0.047875, -0.141326, -0.878884, -17.699605
0.053457, -0.009790, -0.119123, -0.830830, -17.976773
0.041079, 0.010494, -0.121823, -0.861322, -17.890300
0.039280, -0.072301, -0.088396, -0.939444, -17.814765
0.040664, 0.035528, -0.027371, -0.963327, -17.956972
0.033455, -0.013214, 0.029909, -0.945976, -18.186507
0.036519, 0.014052, 0.070447, -0.972973, -18.232335
0.029200, 0.006504, 0.077287, -0.994198, -18.203623
0.034014, -0.053025, 0.093014, -1.045556, -18.115502
0.036415, 0.059865, 0.100440, -1.085898, -18.029340
0.030060, -0.030049, 0.123505, -1.101887, -18.047947
0.035341, -0.030407, 0.161882, -1.135227, -18.017917
0.027274, -0.057446, 0.192316, -1.134741, -17.989986
0.023832, 0.004748, 0.243421, -1.098232, -18.256833
0.017675, 0.033975, 0.266269, -1.068804, -18.837328
0.017181, -0.038075, 0.299889, -1.015198, -19.287991
0.019839, -0.004394, 0.367289, -0.940851, -19.753422
0.017421, 0.019857, 0.282970, -1.164982, -21.214789
0.016341, -0.018819, 0.325453, -1.176319, -21.216183
0.015020, -0.035055, 0.358672, -1.142483, -21.362193
0.013369, 0.011641, -0.149537, 0.301525, -20.158975
0.012375, 0.001964, -0.310299, 0.433493, -20.158198
0.014307, -0.003908, -0.278675, 0.281076, -20.070736
0.013495, 0.017898, -0.289752, 0.214473, -20.173489
0.012469, 0.053420, -0.277145, 0.086272, -19.963278
0.012152, 0.042293, -0.211617, 0.008695, -20.144343
0.014594, 0.018642, -0.150014, 0.014078, -20.413875
0.016624, -0.012902, -0.100593, 0.082964, -20.790917
0.018060, 0.016737, -0.073621, 0.209659, -21.295907
0.017534, 0.040608, -0.089517, 0.374743, -22.013854
0.017810, -0.023830, -0.133284, 0.497060, -22.613988
0.020943, 0.021997, -0.137146, 0.685577, -23.353309
0.018796, -0.058184, -0.125226, 0.866639, -23.962786
0.017965, 0.046945, -0.120911, 1.011191, -24.381538
0.016790, 0.063840, -0.189016, 0.938476, -24.683234
0.017533, -0.013366, -0.225013, 0.925171, -24.872501
0.018246, -0.047816, -0.259124, 0.925334, -25.069036
0.018329, 0.025541, -0.034111, 1.197826, -24.103014
0.016590, -0.001574, -0.063540, 1.446362, -24.851801
0.017179, -0.006504, -0.042855, 1.628536, -25.298614
0.018027, 0.016095, -0.036978, 1.720569, -25.503875
0.018227, 0.028976, -0.042103, 1.804304, -25.701715
0.013983, -0.025927, -0.041756, 1.553185, -25.082660
0.015332, 0.028628, 0.101737, 1.324505, -23.747949
0.014498, -0.041758, 0.397254, 1.442472, -21.792415
0.016024, 0.009711, 0.527234, 1.226349, -20.229191
0.015155, -0.018068, 0.785188, 1.459094, -18.137007
0.013918, 0.011923, 0.764865, 1.057148, -17.157128
0.015918, 0.044595, 0.722473, 0.974881, -17.006030
0.019100, 0.030802, 0.668440, 0.898079, -16.830283
0.024598, 0.004171, 0.630738, 0.866668, -16.730051
0.026953, -0.003252, 0.588049, 0.818813, -16.602261
0.020991, 0.047516, 0.527385, 0.757055, -16.405557
0.021870, -0.023595, 0.455728, 0.595487, -16.014428
0.022887, 0.028179, 0.385504, 0.491644, -15.694218
0.028822, -0.016862, 0.325777, 0.302151, -15.181084
0.035583, 0.034728, 0.278851, 0.112304, -14.644748
0.030324, 0.029929, 0.226145, -0.043199, -14.126853
0.031674, 0.018639, 0.204233, -0.205515, -13.531775
0.030908, 0.006638, 0.182409, -0.342184, -12.903362
0.029007, 0.018801, 0.139093, -0.431365, -12.341683
0.024503, 0.026706, 0.115460, -0.549430, -11.845804
0.026820, 0.004974, 0.100862, -0.612098, -11.204525
0.026194, 0.008978, 0.118960, -0.619223, -10.468844
0.025093, -0.029744, 0.143259, -0.633818, -9.756210
0.028819, 0.021232, 0.150083, -0.688928, -9.139449
0.027711, 0.049244, 0.195092, -0.650057, -8.411463
0.026977, 0.022867, 0.326627, -0.377576, -7.512688
0.021976, 0.073824, 0.414895, -0.226781, -6.690280
0.018983, -0.000740, 0.719101, 0.668987, -5.583743
0.011020, 0.020720, 1.129786, 1.995306, -4.399949
0.007795, 0.017560, 1.257315, 2.048875, -3.496849
0.006899, -0.014864, 1.265338, 1.723127, -2.779690
0.006119, 0.037683, 1.223828, 1.322391, -2.181417
0.010254, 0.070198, 1.148641, 0.914931, -1.689229
0.005501, 0.053632, 1.097263, 0.613908, -1.184997
-0.002658, 0.044594, 1.037055, 0.333442, -0.733465
-0.005306, -0.070289, 0.947312, 0.043779, -0.396642
-0.008480, 0.049842, 0.863944, -0.181463, -0.063876
-0.003969, -0.054347, 0.782588, -0.395097, 0.246760
-0.006694, 0.014801, 0.759334, -0.538975, 0.631502
-0.002377, 0.011505, 0.727813, -0.646969, 0.977532
-0.004263, 0.027433, 0.686201, -0.739719, 1.302326
-0.005298, 0.066893, 0.669765, -0.796003, 1.618374
-0.006121, 0.041447, 0.697427, -0.800800, 1.885644
-0.008886, 0.008464, 0.704019, -0.802390, 2.139389
-0.012461, -0.014422, 0.702750, -0.794942, 2.365232
-0.014780, 0.021355, 0.696854, -0.787053, 2.587321
-0.015555, -0.002985, 0.687395, -0.776617, 2.798514
-0.015870, -0.132617, 0.673843, -0.765411, 3.001948
-0.016507, 0.018044, 0.664376, -0.745996, 3.151661
-0.019108, 0.090406, 0.686131, -0.720314, 3.295366
-0.018593, 0.057525, 0.710850, -0.693490, 3.457545
-0.019849, 0.048818, 0.728809, -0.665931, 3.611988
-0.020021, 0.022287, 0.714523, -0.658120, 3.711497
-0.020877, -0.026085, 0.712698, -0.644331, 3.779477
-0.022051, 0.041280, 0.713638, -0.629276, 3.846393
-0.022060, 0.038979, 0.713032, -0.627809, 3.854293
-0.020893, -0.037085, 0.736037, -0.596811, 4.024475
-0.022523, 0.044523, 0.776311, -0.568211, 4.229393
-0.022661, -0.005145, 0.807713, -0.538389, 4.414468
-0.023335, -0.004838, 0.827404, -0.508418, 4.616759
-0.023799, -0.013329, 0.836210, -0.481011, 4.784622
-0.024017, 0.048881, 0.826998, -0.468350, 4.904145
-0.023779, 0.022749, 0.813065, -0.468189, 4.981614
-0.024656, 0.077085, 0.802489, -0.463268, 5.056236
-0.025947, -0.061542, 0.782396, -0.479725, 5.117874
-0.027598, -0.001727, 0.768310, -0.473671, 5.213320
